SPRINGBOK SCAFFOLDING AND AMP; PLANT HIRE;113157218;splant@telkomsa.net
BRIDGING EXECUTIVE MANAGEMENT (PTY) LTD;126442485;;
KHANYILE;317056919;;
TAR & CONSTRUCTION PROJECTS;110246725;;
SITHMAHL CONSTRUCTION;845477001;nyami76@yahoo.co.uk;
ROADWORX;573882438;;
MBOGODO TRADING;136562043;mbogdo1@gmail.com;
P J SETBUILDERS;828121286;pjsetbuilders@yahoo.com;
SIPHELELESONKE CONSTRUCTION & TRADING;357941248;sphelele@gmail.com;
STP INSURANCE BROKERS (PTY) LTD;216717075;minnelese@skytiv.co.za;
AMBIENT OFFICE SYSTEMS (PTY) LTD;116639000;aos@ambient.co.za;
A100 ALUMINIUM GROUP;861225233;info@a100group.co.za;
PAARL MICA HARDWARE;218711929;;
GO BIG CONSTRUCTION AND PROJECTS CC;123410095;info@gobigprojects.co.za;
BILA CIVIL CONTRACTORS (PTY) LTD;112610241;info@bila.co.za;
LEONARD TRUCK & PLANT;749107111;sam29wood@gmail.com;
LIVING MATTER;828250982;info@livingmatter.co.za;
NDIKO ROAD MAINTENANCE;219060347;tumi2010@live.co.za;
WESIZWE PLATINUM LTD;119944600;info@wesizwe.co.za;
GREEN INC;113273687;admin@greeninc.co.za;
CAPE TOWN FESTIVAL;214659042;info@capetownfestival.co.za;
FERLINE CONSTRUCTION CC;217012132;marianeclark62@gmail.com;
ROYAL EAGLE CLEANING SERVICES;218382705;royaleagleservices7@gmail.com;
F & M SALVAGE CONTRACTORS CC;333860074;fmsalvagecontractors@telkomsa.net;
MASIQHAME TRADING 559 CC;725193611;;
FRONTAL IRRIGATION & LANDSCAPING;823530041;;
PUG'S LANDSCAPING CC;824553383;;
JODAN CONSTRUCTION (PTY) LTD;126660900;;
MARVS CONSTRUCTION & PLANT HIRE;116557329;marvsplant@yahoo.com;
D K CONSTRUCTION CC;448714914;dkk@absamail.co.za;
ALL-ROUND SALES & MERCHANDISING CC;514333605;info@s-r-s.co.za;
ELEKTRIESE DIENSTE;583035306;;
INYAMEKO TRADING;736648499;luthando.adonis@gmail.com;
J J THATCHERS;733869150;johnsthatch@gmail.com;
AMABOMBO TRADING CC;317020600;amabombo@gmail.com;
REJOIN GROUP (PTY) LTD;788572078;rjgroup@outlook.com;
CAMPBELL & VILJOEN;114543510;admin@scs_sa.net;
LANNICE SNYMAN PUBLISHERS;217903367;tamsin@lannicesnyman.com;
SISEKO QUANTITY SURVEYORS;414841064;info.pe@sisekoqs.co.za;
SAFINTRA ROOFING S A (PTY) LTD (POLOKWANE);152235134;glenda@safintra.co.za;
ECO STORAGE;126768500;info@m-t.co.za;
MAMPANE BRICKS;127994635;mampanebricks@gmail.com;
ROADSPAN SURFACES (PTY) LTD;115528511;jimmy@roadspan.co.za;
MURRAY & ROBERTS CONSTRUCTIONS;128020595;;
RORISANG HOLDINGS (PTY) LTD;113941427;;
AFRICA PLANT.COM;325863161;;
PHETUGO CONSALTING;604024356;;
CONSTRUCTION INDUSTRY DEVELOPMENT BOARD;514484903;;
HYDROMAR INTERNATIONAL (SA) (PTY) LTD;215062900;;
ROADBULL CONSTRUCTION SA (PTY) LTD;838601189;;
ERWIN PROJEKTE;840397822;oskarmarks5@gmail.com;
NEW IMAGE BUSINESS INTERIORS;823386182;sales@newimagebusinessinteriors.co.za;
S K K RETAIL & BUILDING MAINTENANCE;114777536;;
ARMCO;514320707;tpotgieter@armco.co.za;
MILLER PROJECT (PTY) LTD;739149909;millerprojectstrading@gmail.com;
WINTERTON STRUCTURAL STEEL (WSS);825723966;wssadmin@lantic.net;
BORNFIRE TRADING PROJECTS;717480761;bornfiretradingproject@webmail.co.za;
TRANSVAAL PAINTING & SHEETING;117409956;tvlps@absamail.co.za;
FRAMETECH;711856262;;
PENNY FARTHING (PTY) LTD;498460464;;
VUKO MAINTENANCE;448741422;vuko.maintenances@gmail.com;
BOUKON 20000;123290853;;
WESCO CONSTRUCTION;132461214;;
JORIS IDE SA STEEL (PTY) LTD;123799888;;
G & S ENGINEERING;315793328;;
CITY CONSTRUCTION;573553007;;
ILINGO CC;419226586;;
SUPERWAY CONSTRUCTION (PTY) LTD;488812169;;
MULTI SPEC TASKING CC;114221856;rssolutions@iburst.co.za;
THABA NCHU MINING & CONSTRUCTION (11);157815639;;
F B R CONSTRUCTION;187715919;;
MATHOTO CONSTRUCTION;317771753;;
S P 2000 ROADS (PTY) LTD;448732892;;
BRIDGING EXECUTIVE MANAGEMENT (PTY) LTD;126442485;;
KHANYILE;317056919;;
ROCAM CONSTRUCTION CC;116608200;;
AFRICAPLANT.COM;343151222;;
ALPHEU CONSTRUCTION;178115958;;
AFRI EAGLE CONSTRUCTION CC;117878182;;
CONGOLE CONSTRUCTION CC;125620868;;
IRASSACK & SONS CONSTRUCTION;833950665;;
SIYAHLOBISA PROJECTS;861114808;;
HOFFMANN POWER PRODUCTS;514479618;;
DAVGRAM CONSTRUCTION CC;317656445;;
BRIGHT IDEA PROJECTS 182 CC;354741818;;
DOLPHIN DIAMOND PRODUCTS;126635895;;
CARRIE CONSTRUCTION & DEVELOPMENT;315023986;;
GC CIVILS & CONSTRUCTION CC;315691701;;
QS AFRICA QUANTITY SURVEYORS & CONSTRUCTION CONSULTANTS;184681156;hl@qsafrica.com;
HILL GREYLING BUILDING CONSTRUCTION CC;218554316;;
INYATSI CONSTRUCTION SA;119774600;info@inyatsi.co.za;
MEGAPHASE TRADING 100 CC;116732782;;
CASAVILLA CONSTRUCTIONS (PTY) LTD;117826140;;
RTC-BUILD IT;114121037;rtcbuildit@telkomsa.net;
INGERSOLL RAND CO SA (PTY) LTD;860247000;info_sa@irco.co.za;
NATELA IMPORTERS (PTY) LTD;115705300;felicia@natela.co.za;
SENTINO BUILDING PROJECTS;218512940;info@sentino.co.za;
JENRIC TRUST;137378785;janet@jenrictrust.co.za;
NEW WORLD HOTEL;114842767;wwwnewworld@mweb.co.za;
C S E EQUIPMENT;414846240;info@cse.co.za;
PROMPTVEST FOURTEEN (PTY) LTD;218561697;promptvest@telkomsa.net;
PALA STEEL PROJECTS CC;157816012;pala.admin@solarbotics.co.za;
L J STEEL;837973218;info@ljsteel.co.za;
FAST VENTS FIFTEEN (PTY) LTD;169863089;fastvents_adeline@telkomsa.net;
CLASSIQUE STEEL WORX;315695373;csw@telkomsa.net;
C S E EQUIPMENT CO;414846240;info@cse.co.za;
MONARCH BUILDING SUPPLIES;118871950;accounts@monarchbs.co.za;
FAFA CONSTRUCTION;745558266;narsingh.ranon2@gmail.com;
ISA & PARTNERS CONSULTING ENGINEERS;514479710;infobfn@isapartners.co.za;
W E C CONSULT (EDMS) BPK;861111441;info@freedomhill.co.za;
CONBOU CONSTRUCTION (PTY) LTD;147173862;;
HIGH POWER EQUIPMENT AFRICA (PTY) LTD;113974670;headoffice@hpeafrica.co.za;
TURNER MORRIS;112213700;info@turnermorris.co.za;
VENTER;317671918;;
TOLL INFRASTRUCTURE SERVICES (PTY) LTD;126614173;;
EXR CONSTRUCTION (PTY) LTD;315399100;info@exrconstruction.co.za;
CEMFORCE CC;518212520;;
P BALOYI CONSTRUCTION CC;118694662;;
BONGISIPHO CONSTRUCTION & TRANSPORT;355623555;;
ACTIVATE CIVIL ENGINEERING;110469325;;
M G CONSTRUCTION;437401751;;
CONSTRUCTION RESOURCE DEVELOPMENT CENTRE CC;317015471;;
UPSIDE CIVILS (PTY) LTD;219148200;peter@pmconstruction.co.za;
TURNAROUND CONSTRUCTION;312073715;;
VAN SCHALKWYK VERVOER & KONSTRUKSIE;287543320;vanschalkwykkonstruksie@yahoo.com;
TECHNICAL FINISHES (PTY) LTD;118227242;alan@technicalfinishes.com;
ZAMA DUNGA BUSINESS ENTERPRISE CC;317015430;info@zamadunga.co.za;
D L V ENGINEERS & PROJECT MANAGERS (PTY) LTD;349807242;info@dlveng.co.za;
CEILING PARTITIONING DYNAMICS CC;215516706;info@cpdholdings.co.za;
FIBRESTRUC;128043442;fstruc@mweb.co.za;
BASADI TOGETHER CONSTRUCTION;118651757;basadi2getha@mweb.co.za;
VITFIT;117406184;janhendrik@vantagecon.co.za;
MTB ELECTRICAL;219020087;mtbelectrical@gmail.com;
HYDREX CONSTRUCTION;110347400;sales@hydrex.co.za;
LAFARGE GYPSUM (PTY) LTD;113894500;lumkatlou@lafarge.com;
PLUMB GUARANTEE (SOUTH CAPE);448740166;scape@plumbguarantee.co.za;
KGABO DEVELOPERS CC;152234808;admin@kgabodevelopers.co.za;
PHOLANI ASIYA TRADING & PROJECTS CC;446931842;mwnguta@gmail.com;
CELTIS PROJECTS;826357088;herman@celtisandscaping.co.za;
KUSENI PLANT HIRE;716702418;admin@kuseni.com;
HOUTMAN PETER CONSTRUCTION;415859665;phoutman@mweb.co.za;
SIZISA UKHANYO TRADING 911 CC;764588054;;
INTERGRATED PLANT SUPPLIES CC;117363450;;
NICKISERVE CONSTRUCTION;111002896;;
DM CONSTRUCTION CC;110507205;;
POTGIETER;437481658;;
DE KLERK KONSTRUKSIE;287351060;;
CONBOU CONSTRUCTION (PTY) LTD;147173862;;
HIGH POWER EQUIPMENT AFRICA (PTY) LTD;113974670;headoffice@hpeafrica.co.za;
TURNER MORRIS;112213700;info@turnermorris.co.za;
VENTER;317671918;;
MATEBELE-DINARE CONSTRUCTION;152913058;;
KOEN CONSTRUCTION;123299361;;
MAC'S TOOL HIRE;213915077;macstoolhire@telkomsa.net;
J B CONSTRUCTION;710751120;none@none.com;
NGWABI CONSTRUCTION & PROJECTS;114330748;;
FELIPA CONSTRUCTION & TRADING CC;114939750;;
HARMSE CONSTRUCTIONS;730673462;;
STAGE 2000;832821714;;
MBOGODO TRADING;136562043;mbogdo1@gmail.com;
P J SETBUILDERS;828121286;pjsetbuilders@yahoo.com;
SIPHELELESONKE CONSTRUCTION & TRADING;357941248;sphelele@gmail.com;
MELILIZWE CONSTRUCTION;419335582;christowendy@smss.co.za;
FINBOND MUTUAL BANK;537121071;kuruman@finbond.co.za;
COASTAL HIRE;437220179;eastlondon@coastalhire.co.za;
DELMOS (EDMS) BPK;184845509;;
HELDERBERG CONSTRUCTION CC;218538263;info@helderbergconstruction.co.za;
BEST REWARDS INVESTMENTS 14CC;738821397;kathomasorders@gmail.com;
MATKOVICH & HAYES GOLF COURSE ARCHITECTS & CONSTRUCTION;329460200;deven@matko.co.za;
PADIA;824589075;;
ATTIX5;448510005;;
GOLF DATA;448744482;;
S A GOLF DEVELOPMENT BOARD;315785318;;
MIJUCA CONSTRUCTION;136597007;;
BA-AGI PROJECT & COMMUNITY DEVELOPMENT ASSOCIATION;119874914;ba-agi.project@mweb.co.za;
LOMOTEK POLYMERS;215975905;info@lomotek.co.za;
SGT PEPPER;214245608;longstreet@sgtp.co.za;
CARRIE CONSTRUCTION & DEVELOPMENT;315023986;;
GC CIVILS & CONSTRUCTION CC;315691701;;
QS AFRICA QUANTITY SURVEYORS & CONSTRUCTION CONSULTANTS;184681156;hl@qsafrica.com;
HILL GREYLING BUILDING CONSTRUCTION CC;218554316;;
INYATSI CONSTRUCTION SA;119774600;info@inyatsi.co.za;
MEGAPHASE TRADING 100 CC;116732782;;
CASAVILLA CONSTRUCTIONS (PTY) LTD;117826140;;
2 THE PLAN CONSTRUCTION CC;218720244;;
FESCON CONSTRUCTION;218625450;;
AMM ELECTRICAL & CONSTRUCTORS SERVICES;127721129;;
PRETORIA CONSTRUCTION & SURVEYORS;125205064;;
GAUTRAIN PRETORIA-BOMBELA CIVIL JOINT VENTURE (PTY) LTD;124420400;;
COMET CONSTRUCTION CONTRACTORS BK;125422774;;
ECO FLEX CC;163655336;;
C PRETORIOUS CONSTRUCTIONS CC;116648800;;
SPACE CONSTRUCTION (PTY) LTD;178469614;;
IKAYA MANAGEMENT;823205004;burni@ikaya.co.za;
MARIPANA'S BUSINESS ENTERPRISE;152976728;;
AMALGAMATED PRECAST CC;437451386;;
ALPHA TIMBER CONSTRUCTION CC;832565775;;
SANBENDRA WONINGS BK;126533672;;
TRIPLE T CONSTRUCTION CC;315397054;;
CONCOR HOLDINGS (PTY) LTD;214264342;;
BRUWER;583031645;;
QOPHE CONSTRUCTION CC;515226389;;
J LIEBENBERG CONSTRUCTION (PTY) LTD;129984189;;
MOHLALA & MOKOENA BUSINESS ENTERPRISES CC;721968189;;
VELUNO TRADING PROJECTS;333459995;;
MITIRHO PROJECTS;169313345;;
LIFESTYLE CONSTRUCTION;314018047;;
J M G CONSTRUCTION (PTY) LTD;147364565;;
CYKEN CONSTRUCTION;437635086;;
XCMG AFRICA;112301900;martin@globalgroups.org;
F B K TRADING ENTERPRISE;219342973;fbktrading@gmail.com;
TELESET DESIGN & MANUFACTURERS;114473321;office@teleset.co.za;
AVENG RAIL;118986800;enquiries@lennings.co.za;
AERATED CEMENT PRODUCTS CC;187862170;hcp@ananzi.co.za;
P J FERREIRA CONSTRUCTION;422472550;terius.ferreira@gmail.com;
LULAMA WOMEN INVESTMENT CC;152915023;reiny@mweb.co.za;
COPPER LEAF INDUSTRIES;861747748;libertas2012@ymail.com;
ROADSPAN SURFACES (PTY) LTD;115528511;jimmy@roadspan.co.za;
MURRAY & ROBERTS CONSTRUCTIONS;128020595;;
QUOIN CONSTRUCTION (PTY) LTD;114647145;;
ELSIMA ENTERPRICE & MAINTENANCE;119806550;;
SIYAZAMAQUIP CC;314615642;;
JOYOUS KIDS;568114690;modiseme@yahoo.com;
KING CONSTRUCTION;443431673;magdadstar@iafrica.com;
AMOYA BUILDING PROJECTS;113148301;;
BIDVEST AFCOM;116277000;info@bidvestafcom.co.za;
DEEPLAUL'S TRANSPORT & PLANT HIRE;333874802;deepson@telkomsa.net;
SAFINTRA NELSPRUIT;861723755;info@safintra.co.za;
BENRAY TOOL WHOLESALERS (PTY) LTD;315795759;zain@benray.co.za;
WATERPROOFING SPECIALIST;415814296;jwewege@mweb.co.za;
INDGRO OUTSOURCING (PTY) LTD;169329000;cbierman@indgro.co.za;
FIX A PIPE;832294615;hayneswarren904@gmail.com;
BFBA CONSULTANTS CAPE TOWN (PTY) LTD;214210860;info@bfbactn.co.za;
DIY BUILDING MATERIALS;537120547;diy@olivierconstruction.co.za;
ARUP (PTY) LTD;214093500;capetown@arup.com;
N J R STEEL TRADING (PTY) LTD;117321511;jswift@njrsteel.co.za;
BIDVEST AFCOM;116277000;info@bidvestafcom.co.za;
DUFERCO STEEL PROCESSING (PTY) LTD;227097000;;
NJR STEEL REINFORCING (PTY) LTD;114629862;rebar@njrsteel.co.za;
AFFIRMATIVE PORTFOLIOS;333943539;customerservice@affirm.co.za;
CHEMROTECH POWER INDUSTRIES;184691383;chemrotech@mweb.co.za;
ELEKTRIES VERKOELING SEKURITEIT;725554433;awie.evs@vodamail.co.za;
FANNIE'S ELECTRICAL;178832249;;
EAST2WESTCONTRACTORS;118144347;;
EDISON PERFORMANCE ELECTRICAL;437436979;admin@edisonperformance.co.za;
RAINBOW CIVILS CC;536317152;dunn@rics.co.za;
NEW MODERN LIFESTYLE DEVELOPMENT (PTY) LTD;213716695;newmodernlifestyle@gmail.com;
BAILEY'S PLUMBING;117825578;darrell@baileysplumbing.co.za;
ALAN HOME IMPROVEMENTS GENERAL MAINTENANCE;836816468;;
MOSES GENERAL BUILDERS;721362634;;
GIBB ENGINEERING & ARCHITECTURE;514471711;cdjager@gibb.co.za;
EBERHARDT MARTIN CC;219054002;latief@ebm.co.za;
S A MUNICIPAL WORKERS UNION;216971151;samwu@samwu.org.za;
NEKNER CONSTRUCTION (PTY) LTD;118942351;delia@neknerconstruction.co.za;
MZANSI AFRICA CIVILS;317027007;mzansi@mzansiafrica.co.za;
MZONTSUNDU PLANT HIRE;475312934;info@mzontsunduplanthire.co.za;
WABLO;832931043;louie@wablo.co.za;
CENTRAL BUILD IT (BEDFORDVIEW);114523837;edenvale@centralbuilding.co.za;
CASHBUILD (SOUTHGATE);112470922;southgate@cashbuild.co.za;
CROWN GOLD RECOVERIES (PTY) LTD;112489000;siddiq.bhayat@za.drdgold.com;
SAVSCAPES CC;219133619;gareth@savscapes.co.za;
PLUMB IT DOC;741900661;plumbitdoc1@gmail.com;
BIGSKY PRODUCTIONS;214232144;rowan@bigskyprod.com;
LUNGY LUNGA TRADING (PTY) LTD;315182044;lungelo49@outlook.com;
PAVE MASTER;843973985;makplantarring@gmail.com;
MICA HOMEWAREHOUSE (BENONI);118452986;nareen@absamail.co.za;
MANLYNE PLUMBING AND SANITARY CONTRACTORS;110796042;salesmanlyne@gmail.com;
CHADWICKS RISK & INSURANCE BROKERS (PTY) LTD;861747500;info@chadwicks.co.za;
MBIWA SHOPFITTERS;769019817;mbiwa.tbk@gmail.com;
ABANTWANABAMI (PTY) LTD;721421106;tulanic@gmail.com;
ADVANCED ASPHALTING;219821081;sljones@telkomsa.net;
PAVE MASTER;843973985;makplantarring@gmail.com;
MICA HOMEWAREHOUSE (BENONI);118452986;nareen@absamail.co.za;
MANLYNE PLUMBING AND SANITARY CONTRACTORS;110796042;salesmanlyne@gmail.com;
CHADWICKS RISK & INSURANCE BROKERS (PTY) LTD;861747500;info@chadwicks.co.za;
MBIWA SHOPFITTERS;769019817;mbiwa.tbk@gmail.com;
ABANTWANABAMI (PTY) LTD;721421106;tulanic@gmail.com;
ADVANCED ASPHALTING;219821081;sljones@telkomsa.net;
S T A COAL MINING CO (PTY) LTD;178111924;info@stacoalmining.co.za;
JOHNSON PLANT HIRE & CIVILS;760533938;info@johnsonplanthire.co.za;
HY-JACK CAPE CC;215111961;hyjack@netactive.co.za;
5H CONSTRUCTION & MAINTENANCE;824675919;info@5h-cms.com;
VIJAY ORI & ASSOCIATES CC;325863192;vijori@iafrica.com;
MILLER PROJECT (PTY) LTD;739149909;millerprojectstrading@gmail.com;
WINTERTON STRUCTURAL STEEL (WSS);825723966;wssadmin@lantic.net;
BORNFIRE TRADING PROJECTS;717480761;bornfiretradingproject@webmail.co.za;
BRAIN WAVE PROJECTS 1833;215934849;0834102554@mtnloaded.co.za;
BUSHBURGER ELECTRICAL & CONSTRUCTION;848625221;msbushburger@gmail.com;
B E C CONSTRUCTION CC;153071144;bec.tzn@mweb.co.za;
MBV GROUP;437211609;ecb@mbvgroup.co.za;
BETSEKGADI COMMUNITY PROJECTS;152964798;stanford@betsekgadi.co.za;
THANDABANTU BUSINESS ENTERPRISES CC;165947498;thandabantu@webmail.co.za;
REDEOFLEX PROJECTS;116123264;redeoflexprojects@gmail.com;
EVOLUTION CONSTRUCTION;828056574;;
DARON CONSTRUCTION;349951333;;
JLP CONSTRUCTION;782227060;jlpconstruction1@gmail.com;
HEREDRAU (PTY) LTD;116832200;;
ANDIC BUILDING CONSTRUCTION;117366134;;
DYNAPAC (SA) (PTY) LTD;833256682;;
SONTANGE;128037692;walec1@worldonline.net;
MADIDASI CLEANING SERVICES;313054921;madidasi@telkomsa.net;
MEBALA PAINTS;744485643;mebala@webmail.co.za;
KRANSKOP BUILD IT;334441783;kranskopbuildit@vodamail.co.za;
MCHILOBUVU CIVILS;398350628;mplant@webmail.co.za;
PROFESSIONAL BUILDER CCT;217815879;giftsimbarashemkamdi@yahoo.com;
TALISMAN PLANT & TOOL HIRE;145923884;talis1@iafrica.com;
ARMCO SUPERLITE (PTY) LTD;119748511;mail@armco.co.za;
T K S M CONSTRUCTION (PTY) LTD;796067987;;
GUTH SA (PTY) LTD;317095444;pinetown@guth.co.za;
RESAY CONTRACTORS CC;312613954;raeesa@resay.co.za;
CHANNEL CONSTRUCTION (PTY) LTD;312057401;enquiries@channelgroup.co.za;
CA DU TOIT (PTY) LTD;184685929;klerksdorp@cadutoit.co.za;
SEBELETSA SECHABA CONSTRUCTION;712960983;;
LETCHMIAH DAYA & VARACHHIA;214657442;cpt@ldm.co.za;
STRAND CONTINENTAL ENGINEERING WORKS;218544796;scew@engineer.com;
CUMULATIVE EXPERTISE CONTRACTORS;215577839;mpumzi.mondliwa@gmail.com;
BIG ELEPHANT GROUP CONSTRUCTION & PROJECTS;833559437;bigelephantgroup@yahoo.co.za;
DSC-ZENDON CC;118947527;info@zendon.co.za;
M M PROJECTS CC;123492680;mmprojek@lantic.net;
WYNLAND STAAL;233471211;wynlandstaal@lando.co.za;
STEEL TECH;448736538;dejagerhester9@gmail.com;
WER INDUSTRIAL SUPPLIES (PTY) LTD;118275480;info@wer.co.za;
HENLOUW SHOTBLASTING & PAINTING CC;118181046;henlouweng@worldonline.co.za;
STEREO METRY ENGINEERING & CONTAINER CONVERSIONS CC;219083091;acasteel@telkomsa.net;
SPACIO OFFICE DEZIGNS;114624709;sales@spacio.co.za;
BNT MASINGA TRADING & PROJECTS;119863205;bntmasinga@yahoo.com;
